"mre","CRISPR_MIR_ratio","WT_MIR_ratio","active_annotation","fold_change_val"
"E11",856.90909090909,1.63165044509437,"ACTIVE",525.179332059403
"G2",3.28594626513138,0.182873006833713,"ACTIVE",17.9684597635522
"D5",28.8444034440344,1.7674829631392,"ACTIVE",16.3194803263078
"F4",0.0590277777777778,0.00425857174055471,"ACTIVE",13.8609330484330
"B8",2.35,0.175284161807746,"ACTIVE",13.4068017085167
"B4",6.29589923843,0.495670805083502,"ACTIVE",12.701775399843
"B11",5.59071367153912,0.534056534890998,"ACTIVE",10.4683929627042
"B12",1.2521898161517,0.121693722329436,"ACTIVE",10.2896829202242
"B9",1.11631419939577,0.141104942050708,"ACTIVE",7.91123388856646
"C12",1.77808951235805,0.264294087001823,"ACTIVE",6.72769312597516
"D9",0.33130857341201,0.0618837449525777,"ACTIVE",5.35372533879285
"H4",0.36749922271738,0.072353883268798,"ACTIVE",5.07919141467644
"D1",12.6666666666667,2.59297430686602,"ACTIVE",4.88499505495531
"A8",0.739482200647249,0.157978582175414,"ACTIVE",4.68090161630995
"H1",0.111837327523602,0.0247349823321555,"ACTIVE",4.52142338416848
"C2",14.2156205079061,3.73414876259370,"ACTIVE",3.80692399036402
"E10",8.44859813084112,2.32877238834653,"ACTIVE",3.62791923037175
"G10",0.519709321852768,0.151088810588045,"ACTIVE",3.4397604947053
"E12",2.18852459016393,0.667907669396873,"ACTIVE",3.27668731838368
"E1",1.48732251521298,0.466692561662459,"ACTIVE",3.18694283430364
"C3",5.39716684155299,1.75453827940016,"ACTIVE",3.07611803339975
"C1",0.476267171956419,0.158268863659198,"ACTIVE",3.00922847959513
"A7",7.56572769953052,2.8830979348104,"ACTIVE",2.62416604312404
"A12",1.97125848162847,0.778662845605237,"ACTIVE",2.53159437714825
"B3",108.979591836735,43.2664974619289,"ACTIVE",2.51879856770537
"A10",13.3934221482098,5.34221118168669,"ACTIVE",2.50709335380133
"A9",22.0569620253165,8.86943495715741,"ACTIVE",2.48685086838785
"E9",6.56267409470752,2.69347074796347,"ACTIVE",2.43651210976379
"G3",0.53845783364639,0.221987775265846,"ACTIVE",2.42561930719630
"B5",1.3736169400992,0.574281668535017,"ACTIVE",2.39188714416616
"D10",5.33333333333333,2.25347222222222,"ACTIVE",2.36671802773498
"F9",1.33333333333333,0.575280298985585,"ACTIVE",2.31771075019335
"G9",3.51892890120037,1.53515625,"ACTIVE",2.29222849543841
"B10",11.9831932773109,5.36975905900209,"ACTIVE",2.23160725567785
"H3",5.80307467057101,2.6563670411985,"ACTIVE",2.18459067612613
"D3",0.408994019776186,0.188921358717667,"ACTIVE",2.16489031495590
"H5",3.88418614445146,1.7999600194905,"ACTIVE",2.15792912197624
"F10",0.645509539320614,0.303582515832609,"ACTIVE",2.12630670626809
"C11",3.48271186440678,1.63948845913911,"ACTIVE",2.12426738656979
"G7",3.31309189301696,1.58360749850957,"ACTIVE",2.09211682575077
"B1",0.272005261027924,0.130803298717166,"ACTIVE",2.07949848127361
"B2",3.83991621783363,2.00183821424072,"ACTIVE",1.91819508215856
"A11",4.48618001417434,2.35160133948987,"ACTIVE",1.90771281630054
"C6",3.45895797493242,1.82229136163982,"ACTIVE",1.89813662499053
"G6",0.553179516038267,0.294267368542836,"ACTIVE",1.87985340942668
"C5",3.64419475655431,2.01711780669404,"ACTIVE",1.80663456762943
"F5",1.80907668231612,1.00164089618176,"ACTIVE",1.8061130383277
"C4",0.905789242268797,0.502187042372151,"ACTIVE",1.80368899601665
"C9",1.21611471491977,0.679705882352941,"ACTIVE",1.78917785838477
"H2",1.00873362445415,0.583417878480442,"ACTIVE",1.72900704908371
"A5",1.97107438016529,1.16100536333999,"ACTIVE",1.69773064139418
"D4",4.0625,2.47035512879134,"ACTIVE",1.64450040103652
"D12",9.77851605758583,6.25167857916396,"ACTIVE",1.56414248329662
"G1",0.780262273032952,0.508730447435431,"ACTIVE",1.53374400326606
"D8",3.70775347912525,2.42723708487085,"ACTIVE",1.52756131744853
"A2",2.74098360655738,1.84390778419956,"ACTIVE",1.48650796425117
"F1",62.2200956937799,43.004662004662,"ACTIVE",1.44682210703190
"A4",8.57475226195605,5.95144599884684,"ACTIVE",1.44078468722013
"A6",1.86141788386177,1.31227817289256,"ACTIVE",1.41846288562340
"F3",0.350587694781577,0.251796070284775,"ACTIVE",1.39234776136526
"E7",2.54450261780105,1.83384016059468,"ACTIVE",1.38752693526786
"E8",1.27989417989418,0.927807311150489,"ACTIVE",1.37948274874780
"A1",0.831860093874342,0.623605713420482,"ACTIVE",1.33395200841183
"C7",1.10760931289040,0.833376589670387,"ACTIVE",1.32906218703417
"C10",1.25490196078431,0.964522572912505,"ACTIVE",1.30106023023906
"F12",0.788079470198676,0.6275776559645,"ACTIVE",1.25574813365130
"D7",1.23974418967400,1.02207977207977,"ACTIVE",1.21296225944411
"D11",1.15765811275005,0.966955012122482,"ACTIVE",1.19722024110405
"C8",2.13565217391304,1.78539037545164,"ACTIVE",1.19618219257668
"G8",20.2562929061785,17.3102688408991,"ACTIVE",1.17018938829643
"E6",0.40937703494682,0.362616636887036,"ACTIVE",1.12895271011614
"B6",1.71046466224131,1.52700074794316,"ACTIVE",1.12014657788824
"A3",4.96306068601583,4.56941633611269,"ACTIVE",1.08614762169779
"E2",0.994047619047619,0.965482685669747,"ACTIVE",1.02958616845423
"D6",1.79311404857055,1.76273308590082,"ACTIVE",1.01723514632631
"E3",1.63524546367736,1.61815268866183,"ACTIVE",1.01056314100350
